sigla_uf,uf,rebanho,regiao,pct_femeas_inseminadas_corte,pct_femeas_inseminadas_leite,femeas_estimadas,femeas_inseminadas_est,femeas_nao_inseminadas,potencial_doses
MT,Mato Grosso,34245000,Centro-Oeste,24.3,6.0,18834750,4576844,14257906,4277371
GO,Goiás,24015000,Centro-Oeste,28.5,10.0,13208250,3764351,9443899,2833169
PA,Pará,23580000,Norte,11.8,2.5,12969000,1530342,11438658,3431597
MG,Minas Gerais,23105000,Sudeste,22.0,14.0,12707750,2795705,9912045,2973613
MS,Mato Grosso do Sul,20150000,Centro-Oeste,26.8,8.5,11082500,2970110,8112390,2433717
RO,Rondônia,16390000,Norte,14.2,3.5,9014500,1280059,7734441,2320332
BA,Bahia,12060000,Nordeste,18.5,6.5,6633000,1227105,5405895,1621768
RS,Rio Grande do Sul,11680000,Sul,35.0,22.1,6424000,2248400,4175600,1252680
SP,São Paulo,10180000,Sudeste,38.2,15.0,5599000,2138818,3460182,1038054
TO,Tocantins,9250000,Norte,16.0,4.0,5087500,814000,4273500,1282050
PR,Paraná,8950000,Sul,42.7,18.5,4922500,2101907,2820593,846177
MA,Maranhão,8450000,Nordeste,6.5,2.0,4647500,302087,4345413,1303623
SC,Santa Catarina,4580000,Sul,83.1,24.0,2519000,2093289,425711,127713
AC,Acre,3850000,Norte,9.5,1.5,2117500,201162,1916338,574901
CE,Ceará,2650000,Nordeste,10.2,5.5,1457500,148664,1308836,392650
PE,Pernambuco,2350000,Nordeste,12.5,7.0,1292500,161562,1130938,339281
ES,Espírito Santo,2280000,Sudeste,20.5,12.0,1254000,257070,996930,299079
PI,Piauí,2180000,Nordeste,5.2,1.8,1199000,62348,1136652,340995
RJ,Rio de Janeiro,2150000,Sudeste,15.0,8.0,1182500,177375,1005125,301537
AM,Amazonas,1580000,Norte,5.0,1.0,869000,43450,825550,247665
PB,Paraíba,1380000,Nordeste,7.8,3.5,759000,59202,699798,209939
AL,Alagoas,1350000,Nordeste,79.5,8.5,742500,590287,152213,45663
SE,Sergipe,1280000,Nordeste,15.8,5.0,704000,111232,592768,177830
RR,Roraima,1050000,Norte,22.8,2.0,577500,131670,445830,133749
RN,Rio Grande do Norte,1050000,Nordeste,8.5,4.0,577500,49087,528413,158523
AP,Amapá,280000,Norte,3.5,0.5,154000,5390,148610,44583
DF,Distrito Federal,95000,Centro-Oeste,30.0,5.0,52250,15675,36575,10972
